show_id,title,type,release_year,duration_minutes,season_count,description,date_added,rating
s1289,Operation Finale,Movie,2018,123.0,,"In 1960, Israeli spies undertake a daring mission to capture notorious Nazi war criminal Adolf Eichmann and bring him to justice. Based on real events.",2021-02-20,PG-13
s1290,Wave of Cinema: Surat dari Timur,Movie,2020,58.0,,"Featuring a mix of film footage and special performances, this virtual concert honors the memory and music of revered Indonesian singer Glenn Fredly.",2021-02-20,TV-G
s1291,I Care a Lot,Movie,2021,118.0,,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,2021-02-19,R
s1292,Love,Movie,2020,91.0,,The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.,2021-02-19,TV-14
s1293,Perú: Tesoro escondido,Movie,2017,76.0,,"It's a country steeped in cultural traditions that stretch back more than 1,000 years. But Peru is also a land of surprising natural riches.",2021-02-19,TV-PG
s1294,Pitta Kathalu,TV Show,2021,,1.0,"From secrets and lies to jealousy and control, four stories in this anthology film explore the darker, deceptive sides of love.",2021-02-19,TV-MA
s1295,Tribes of Europa,TV Show,2021,,1.0,"In post-apocalyptic Europe, amid wars among microstates, three siblings fight for survival as a greater threat looms over the continent.",2021-02-19,TV-MA
s1296,Eeb Allay Ooo!,Movie,2019,97.0,,"Hired as a monkey repeller upon moving to Delhi, a young man struggles to find his footing in his unenviable job and his place in the unforgiving world.",2021-02-18,TV-MA
s1297,"Hello, Me!",TV Show,2021,,1.0,"Miserable and unsuccessful, a woman thinks she's lost all her spark — until one day, her spunky younger self appears in front of her demanding change.",2021-02-18,TV-14
s1298,No Escape Room,Movie,2018,85.0,,A lighthearted bonding opportunity takes a dark and decidedly dangerous turn when a father and daughter try out an escape room in a small town.,2021-02-18,TV-14
s1299,Sisyphus,TV Show,2021,,1.0,An unfathomable incident introduces a genius engineer to dangerous secrets of the world — and to a woman from the future who's come looking for him.,2021-02-18,TV-14
s1300,Thus Spoke Kishibe Rohan,TV Show,2021,,1.0,"A popular manga creator becomes enmeshed in paranormal events while conducting research: Stand User Kishibe Rohan visits Italy, goes bankrupt and more.",2021-02-18,TV-MA
s1301,Amend: The Fight for America,TV Show,2021,,1.0,"Will Smith hosts this look at the evolving, often lethal, fight for equal rights in America through the lens of the US Constitution's 14th Amendment.",2021-02-17,TV-MA
s1302,Behind Her Eyes,TV Show,2021,,1.0,A single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while secretly befriending his mysterious wife.,2021-02-17,TV-MA
s1303,MeatEater,TV Show,2021,,4.0,Steven Rinella scrounges in some of America's wildest terrains in this unscripted series showing him on the hunt for wild animals from ducks to deer.,2021-02-17,TV-14
s1304,The Most Unknown,Movie,2018,92.0,,"Traversing disciplines from physics to psychology, nine scientists share ideas and seek common ground by delving into deep existential questions.",2021-02-17,TV-PG
s1305,Animals on the Loose: A You vs. Wild Movie,Movie,2021,139.0,,"When wild animals escape from a sanctuary, Bear Grylls — and you — must pursue them and secure their protective habitat. An interactive special.",2021-02-16,TV-PG
s1306,Awara Paagal Deewana,Movie,2002,162.0,,A dentist unwittingly becomes caught in the madcap fight between two criminal brothers-in-law trying to kill one another off to claim their inheritance.,2021-02-16,TV-14
s1307,Good Girls,TV Show,2020,,3.0,Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence – together.,2021-02-16,TV-MA
s1308,The Resurrection of Gavin Stone,Movie,2017,92.0,,"After one too many run-ins with the law, a Hollywood bad boy finds redemption while fulfilling his court-ordered community service at a megachurch.",2021-02-16,PG
s1309,Booba,TV Show,2021,,4.0,"The world is a mystery to little Booba. But he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings.",2021-02-15,TV-Y7
s1310,"My Teacher, My Obsession",Movie,2018,86.0,,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation.",2021-02-15,TV-14
s1311,The Crew,TV Show,2021,,1.0,Life in the garage swerves off track for a NASCAR crew chief and his tight-knit racing team when a new boss steps in and shakes things up.,2021-02-15,TV-14
s1312,Namaste Wahala,Movie,2021,107.0,,An interracial romance hits humorous and heart-wrenching hiccups as the couple's parents fight tooth and nail against their relationship.,2021-02-14,TV-14
s1313,Monsoon,Movie,2020,85.0,,A reflective man must come to terms with his forced displacement from Vietnam when he returns to his birthplace to spread his parents' ashes.,2021-02-13,TV-MA
s1314,Buried by the Bernards,TV Show,2021,,1.0,"In this reality series, the bickering but big-hearted Bernards manage their budget-friendly funeral home while helping grieving families say farewell.",2021-02-12,TV-14
s1315,Chappelle's Show,TV Show,2005,,2.0,"The brilliant Dave Chappelle performs blistering stand-up, impressions and sketches that skewer topics like racism, politics, celebrities and sex.",2021-02-12,TV-MA
s1316,Hate by Dani Rovira,Movie,2021,83.0,,"From his hometown of Málaga, Dani Rovira reflects on human beings’ nonsensical hatred in this hilarious and unfiltered comedy special.",2021-02-12,TV-MA
s1317,Mundina Nildana,Movie,2019,104.0,,"As three young professionals chase their wildly different dreams, their relationships with each other indelibly impact their journeys of self-discovery.",2021-02-12,TV-MA
s1318,Nadiya Bakes,TV Show,2021,,1.0,"Delightful cakes and heavenly breads pop from the oven as Nadiya Hussain returns to baking, her happy place, and spotlights creative kindred spirits.",2021-02-12,TV-G
s1319,To All The Boys: Always And Forever,Movie,2021,116.0,,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,2021-02-12,TV-14
s1320,Xico's Journey,Movie,2021,87.0,,"A girl, a dog and her best pal set out to save a mountain from a gold-hungry corporation. But the key lies closer to home, with her sidekick pup, Xico.",2021-02-12,TV-Y7
s1321,Capitani,TV Show,2019,,1.0,"In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl.",2021-02-11,TV-MA
s1322,El Chema,TV Show,2016,,1.0,Follow one man's epic journey as he transforms from wily underage drug smuggler to one of the world's most infamous cartel leaders.,2021-02-11,TV-MA
s1323,Growing up and other problems,Movie,2018,91.0,,A 30-something woman without a steady partner or income samples stability when her pregnant best friend asks her to be the godmother of her child.,2021-02-11,TV-14
s1324,Layla Majnun,Movie,2020,119.0,,"While in Azerbaijan, Layla, an Indonesian scholar, falls for Samir, an admirer of her work — but her arranged marriage stands in the way.",2021-02-11,TV-14
s1325,Middle of Nowhere,Movie,2012,102.0,,"After her husband is sent to prison for eight years, medical student Ruby shelves her studies to focus on her partner's welfare as he serves his time.",2021-02-11,R
s1326,Red Dot,Movie,2021,86.0,,"Trying to rekindle their marriage and with a child on the way, a young couple on a ski trip suddenly finds themselves stalked by remorseless killers.",2021-02-11,TV-MA
s1327,Squared Love,Movie,2021,102.0,,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,2021-02-11,TV-14
s1328,This Is the Life,Movie,2008,98.0,,"Examine how the group of alternative hip-hop artists known as the Good Lifers started a movement and created a robust, progressive musical community.",2021-02-11,TV-MA
s1329,Crime Scene: The Vanishing at the Cecil Hotel,TV Show,2021,,1.0,"The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. From the creator of ""The Ted Bundy Tapes,"" a dive into crime's darkest places.",2021-02-10,TV-MA
s1330,The Misadventures of Hedi and Cokeman,Movie,2021,99.0,,"In Paris, two dysfunctional dealers use family ties to try to boost their small drug business in this crass comedy based on the webseries.",2021-02-10,TV-MA
s1331,The World We Make,Movie,2019,108.0,,"A teenage equestrian and a local football player fall for each other, but simmering racism in their small town puts their relationship to the test.",2021-02-10,PG
s1332,Five Came Back: The Reference Films,TV Show,1945,,1.0,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",2021-02-09,TV-MA
s1333,ICarly,TV Show,2008,,2.0,A cyberstar is born when 13-year-old Carly creates an Internet series with a little help from her best friend Sam and neighbor Freddie.,2021-02-08,TV-G
s1334,War Dogs,Movie,2016,114.0,,A massage therapist gets in over his head when he partners with a charismatic childhood pal in the lucrative but shady business of global arms dealing.,2021-02-08,R
s1335,Monster Run,Movie,2020,104.0,,"Jimo, an outcast who can see monsters, teams up with a monster hunter to fight evil forces and soon discovers her greater calling.",2021-02-07,TV-14
s1336,The Sinner,TV Show,2020,,3.0,"When a young mother inexplicably stabs a stranger to death, a sympathetic detective struggles to unlock the mystery buried in her missing memories.",2021-02-06,TV-MA
s1337,Blanche Gardin: I talk to myself,Movie,2017,88.0,,"Touching on bulimia, death and cat sodomy, this French actress and comedian is keen to push the envelope in a one-woman show with understated flair.",2021-02-05,TV-MA
s1338,Doob: No Bed of Roses,Movie,2017,104.0,,"As a noted filmmaker’s infidelity becomes a media firestorm, his fractured family privately navigates the fallout of his actions for years to come.",2021-02-05,TV-PG
s1339,Hache,TV Show,2021,,2.0,"As Helena gains the love and trust of a dangerous heroin cartel leader in 1960s Barcelona, she hones the skills she needs to rise up the ranks.",2021-02-05,TV-MA
s1340,Invisible City,TV Show,2021,,1.0,"After a family tragedy, a man discovers mythical creatures living among humans — and soon realizes they hold the key to his mysterious past.",2021-02-05,TV-MA
s1341,Little Big Women,Movie,2020,123.0,,A family grapples with the passing of their estranged father and the remnants of the life he led during his absence.,2021-02-05,TV-14
s1342,Malcolm & Marie,Movie,2021,106.0,,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",2021-02-05,R
s1343,Space Sweepers,Movie,2021,138.0,,"Chasing after space debris and faraway dreams in year 2092, four misfits unearth explosive secrets during the attempted trade of a wide-eyed humanoid.",2021-02-05,TV-MA
s1344,"Strip Down, Rise Up",Movie,2021,113.0,,"In an effort to reclaim their bodies and lives, a group of women explore the intersections of movement and meaning in a powerful pole dancing program.",2021-02-05,R
s1345,The Last Paradiso,Movie,2020,107.0,,"In 1950s Italy, a passionate free spirit dreams of love, justice and a better life till a forbidden affair threatens everything. Based on real events.",2021-02-05,TV-MA
s1346,The Yin-Yang Master: Dream Of Eternity,Movie,2021,133.0,,"When a demonic serpent reawakens, the Yin-Yang Masters must solve a murder mystery and protect their realms from a dark conspiracy at the royal court.",2021-02-05,TV-14
s1347,All My Friends Are Dead,Movie,2020,97.0,,"A group of friends at a New Year’s Eve party go through a whirlwind of events that exposes secrets, breaks hearts — and leads to a shocking outcome.",2021-02-03,TV-MA
s1348,Black Beach,Movie,2020,116.0,,A lawyer with a promising future is forced to deep dive into his past when he agrees to negotiate with an old friend turned kidnapper.,2021-02-03,TV-MA
s1349,Firefly Lane,TV Show,2021,,1.0,Best friends Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their 40s.,2021-02-03,TV-MA
s1350,"Pablo Escobar, el patrón del mal",TV Show,2012,,1.0,"From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar.",2021-02-03,TV-MA
s1351,Power Rangers Ninja Steel,TV Show,2018,,2.0,A new generation of teen heroes uses superhuman ninja powers to battle the intergalactic villain Galvanax and save Earth from destruction.,2021-02-03,TV-Y7
s1352,"Our Lady of San Juan, Four Centuries of Miracles",Movie,2020,123.0,,"In this dramatization, the Virgin Mary works a miracle on a girl in 1623 Mexico. Four centuries later, a family make a pilgrimage for their own child.",2021-02-02,TV-PG
s1353,Tiffany Haddish Presents: They Ready,TV Show,2021,,2.0,"Hand-picked by Tiffany Haddish, six diverse comedians showcase their raw humor in a series of specials oozing with energy.",2021-02-02,TV-MA
s1354,Beverly Hills Ninja,Movie,1997,89.0,,"Raised by ninjas, a big-hearted but bumbling orphan travels to Beverly Hills on a mission to help a woman investigate her shady boyfriend.",2021-02-01,PG-13
s1355,Heartland,TV Show,2019,,13.0,Spunky teenager Amy is reeling from the sudden death of her mother when she and her grandfather are threatened with the loss of their horse ranch.,2021-02-01,TV-14
s1356,Love Daily,TV Show,2018,,1.0,"This anthology follows 12 different love stories involving fateful encounters, magical moments and unexpected romances over the course of a year.",2021-02-01,TV-14
s1357,My Dead Ex,TV Show,2018,,1.0,High school teens Charley and Ben find themselves in a complicated romance when Ben dies in a tragic accident but is resurrected by a magical spell.,2021-02-01,TV-14
s1358,Rocks,Movie,2019,93.0,,"Following her mother's abrupt departure, a dynamic and determined teen goes to extraordinary lengths to protect and provide for her younger brother.",2021-02-01,TV-MA
s1359,Shutter Island,Movie,2010,139.0,,A U.S. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane.,2021-02-01,R
s1360,The Bank Job,Movie,2008,112.0,,"A thief gets in over his head when he breaks into a bank vault full of cash, gems... and secrets on everyone from the London mob to the royal family.",2021-02-01,R
s1361,The House Arrest of Us,TV Show,2020,,1.0,A couple decides to make their engagement official by honoring tradition when a pandemic forces them and their families to quarantine under one roof.,2021-02-01,TV-MA
s1362,The Unsettling,TV Show,2019,,1.0,"As 16-year-old Becca adjusts to her new foster home, she starts to question her reality as strange things begin to happen all around her.",2021-02-01,TV-14
s1363,Total Drama,TV Show,2015,,7.0,"Heartwarming moments are interspersed with backstabbing, scheming, sabotage and broken alliances in this animated spoof of reality show competitions.",2021-02-01,TV-PG
s1364,Zac and Mia,TV Show,2019,,2.0,Two teenagers with cancer share a connection with each other despite their differences and extraordinary circumstances. Based on A.J. Betts's novel.,2021-02-01,TV-14
s1365,Zathura,Movie,2005,101.0,,"A mysterious game sends two brothers flying into space, where they must reach the planet Zathura — or be trapped in galactic limbo forever.",2021-02-01,PG
s1366,Zig & Sharko,TV Show,2019,,2.0,"Zig, an island-bound hyena, will do anything to get his paws on Marina the mermaid, but her devoted pal Sharko always comes to her rescue in time.",2021-02-01,TV-Y7
s1367,Fatima,Movie,2020,113.0,,"In 1917 Portugal, visions of the Virgin Mary come to three children whose message of faith raises doubts in their family and angers authorities.",2021-01-31,PG-13
s1368,Hell Fest,Movie,2018,89.0,,"A serial killer picks off a group of friends, one by one, as they make their way through a hell-themed amusement park.",2021-01-31,R
s1369,Below Zero,Movie,2021,107.0,,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures.",2021-01-29,TV-MA
s1370,Finding ‘Ohana,Movie,2021,123.0,,"In Oʻahu for the summer, two siblings from Brooklyn connect with their Hawaiian heritage — and their family — on a daring quest for long-lost treasure.",2021-01-29,PG
s1371,The Dig,Movie,2021,113.0,,"On the eve of World War II, a British widow hires a self-taught archaeologist to dig up mysterious formations on her land, leading to a staggering find.",2021-01-29,PG-13
s1372,We Are: The Brooklyn Saints,TV Show,2021,,1.0,A Brooklyn youth football program and its selfless coaches provide a safe haven for kids to compete and learn lessons that will take them far in life.,2021-01-29,TV-14
s1373,June & Kopi,Movie,2021,90.0,,"A street dog is taken in by a young couple, and the family pit becomes an instant accomplice as she adjusts to her new, loving home.",2021-01-28,TV-PG
s1374,50M2,TV Show,2021,,1.0,"Seeking to uncover the truth about his past, a henchman betrays someone close to him and assumes a new identity in a small Istanbul neighborhood.",2021-01-27,TV-MA
s1375,Accomplice,Movie,2021,52.0,,Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.,2021-01-27,TV-14
s1376,BONDING,TV Show,2021,,2.0,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,2021-01-27,TV-MA
s1377,Kilometers and Kilometers,Movie,2020,127.0,,"When a debt-ridden man reluctantly agrees to drive an American tourist around India, their stark differences lead to bickering… and unexpected bonding.",2021-01-27,TV-MA
s1378,Outlander,TV Show,2018,,4.0,This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.,2021-01-27,TV-MA
s1379,Penguin Bloom,Movie,2021,95.0,,"As a mom copes with the aftermath of a harrowing accident, she finds inspiration from an injured magpie taken in by her family. Based on a true story.",2021-01-27,TV-14
s1380,Black Rose,Movie,2018,121.0,,"Struggling in poverty with her single mother and siblings, a principled young woman meets the man of her dreams but soon finds he's keeping secrets.",2021-01-26,TV-14
s1381,Go Dog Go,TV Show,2021,,1.0,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way.",2021-01-26,TV-Y
s1382,Hire a Woman,Movie,2019,108.0,,An uptight man attempts to make his ex-girlfriend jealous when he pays his co-worker to act as his lover at a university reunion.,2021-01-26,TV-14
s1383,She Is,Movie,2019,102.0,,"Under pressure from her family and friends to settle down, a successful and single woman searches for the right partner, refusing to settle for less.",2021-01-26,TV-PG
s1384,Blown Away,TV Show,2021,,2.0,"Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion.",2021-01-22,TV-14
s1385,Busted!,TV Show,2021,,3.0,"Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D?",2021-01-22,TV-14
s1386,Demon Slayer: Kimetsu no Yaiba,TV Show,2019,,1.0,"After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost.",2021-01-22,TV-14
s1387,So My Grandma’s a Lesbian!,Movie,2020,95.0,,"Two women in their 70s decide to come out to their families and get married, sparking chaos — and threatening a granddaughter's engagement.",2021-01-22,TV-MA
s1388,The Next Three Days,Movie,2010,133.0,,"When his wife becomes a murder suspect and is sent to prison, a professor plots a meticulous plan to take back her freedom and reunite his family.",2021-01-22,PG-13
s1389,The White Tiger,Movie,2021,127.0,,The ambitious driver for a rich Indian family uses his wit and cunning to escape from poverty and become an entrepreneur. Based on the bestselling novel.,2021-01-22,R
s1390,Friendsgiving,Movie,2020,95.0,,A quiet holiday dinner among friends turns into a chaotic night of illicit activity and compromising situations when uninvited guests crash the party.,2021-01-21,R
s1391,The Shadow of Violence,Movie,2020,101.0,,"As he reconciles with his ex and their son, an enforcer for a crime family gets an order that tests his loyalty and endangers everyone he holds dear.",2021-01-21,R
s1392,Cut Throat City,Movie,2020,123.0,,"Bereft of opportunities in the aftermath of Hurricane Katrina, a young man and his close friends turn to a life of crime in the 9th Ward of New Orleans.",2021-01-20,R
s1393,Daughter From Another Mother,TV Show,2021,,1.0,"After realizing their babies were exchanged at birth, two women develop a plan to adjust to their new lives: creating a single —and peculiar— family.",2021-01-20,TV-MA
s1394,Sightless,Movie,2020,89.0,,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.,2021-01-20,TV-14
s1395,Spycraft,TV Show,2021,,1.0,"The spy game is a serious business, and throughout history, the tools and technologies developed for it have mattered as much as the spies themselves.",2021-01-20,TV-MA
s1396,Hello Ninja,TV Show,2021,,4.0,"BFFs Wesley and Georgie and their silly cat sidekick Pretzel transform into ninjas and enter a magic world, where they solve problems and save the day.",2021-01-19,TV-Y
s1397,Homefront,Movie,2013,100.0,,"When an ex-DEA agent is widowed, he moves with his young daughter to a small town, but his quiet life is shattered by a meth-making drug trafficker.",2021-01-18,R
s1398,A Monster Calls,Movie,2016,108.0,,"Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.",2021-01-16,PG-13
s1399,Death of Me,Movie,2020,94.0,,"With no memory of the previous night, a vacationing couple uncovers a disturbing personal video that inexplicably shows one of them killing the other.",2021-01-16,R
s1400,Radium Girls,Movie,2018,103.0,,"When the women at a radium factory begin to fall gravely and inexplicably ill, Bessie and her co-workers set out to expose a corporate cover-up.",2021-01-16,TV-14
s1401,Bling Empire,TV Show,2021,,1.0,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series.",2021-01-15,TV-MA
s1402,Carmen Sandiego,TV Show,2021,,4.0,"A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans – with help from her savvy sidekicks.",2021-01-15,TV-Y7
s1403,Disenchantment,TV Show,2021,,3.0,"Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals.",2021-01-15,TV-14
s1404,Double Dad,Movie,2020,105.0,,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.",2021-01-15,TV-G
s1405,Henry Danger,TV Show,2016,,3.0,"A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger.",2021-01-15,TV-G
s1406,Outside the Wire,Movie,2021,116.0,,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",2021-01-15,R
s1407,Penguins of Madagascar: The Movie,Movie,2014,92.0,,"Elite penguin spies Skipper, Kowalski, Rico and Private join forces with the suave agents of the North Wind to defeat power-mad genius Octavius Brine.",2021-01-15,PG
s1408,Pinkfong & Baby Shark's Space Adventure,Movie,2019,65.0,,"Joined by new friends from other planets, Pinkfong and Baby Shark explore outer space and search for missing star pieces to return home.",2021-01-15,TV-Y
s1409,The Magicians,TV Show,2020,,5.0,"When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real.",2021-01-15,TV-MA
s1410,The Vanished,Movie,2020,115.0,,"When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets.",2021-01-15,R
s1411,Tribhanga - Tedhi Medhi Crazy,Movie,2021,96.0,,"When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship.",2021-01-15,TV-MA
s1412,What Would Sophia Loren Do?,Movie,2021,32.0,,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren.",2021-01-15,TV-14
s1413,Wish You,Movie,2021,102.0,,"Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other’s lives.",2021-01-15,TV-PG
s1414,Tanda Tanya,Movie,2011,102.0,,"In a story of interconnected lives, three families of different religious faiths navigate conflicting beliefs, hardships and other struggles.",2021-01-14,TV-MA
s1415,The Heartbreak Club,Movie,2020,101.0,,"Coping with heartbreak, the shy owner of a floundering cafe finds solace in the Javanese love songs of Didi Kempot.",2021-01-14,TV-14
s1416,An Imperfect Murder,Movie,2017,71.0,,"Haunted by a nightmare involving her abusive ex-boyfriend, an actress begins to question her reality and whether the incident took place.",2021-01-13,R
s1417,Night Stalker: The Hunt for a Serial Killer,TV Show,2021,,1.0,"Beneath the sunlit glamour of 1985 LA lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him.",2021-01-13,TV-MA
s1418,Al acecho,Movie,2019,81.0,,"Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts.",2021-01-12,TV-MA
s1419,Chris Rock Total Blackout: The Tamborine Extended Cut,Movie,2021,98.0,,"In this extended cut of his 2018 special, Chris Rock takes the stage for a special filled with searing observations on fatherhood, infidelity and politics.",2021-01-12,TV-MA
s1420,Last Tango in Halifax,TV Show,2020,,4.0,Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.,2021-01-12,TV-MA
s1421,"Crack: Cocaine, Corruption & Conspiracy",Movie,2021,90.0,,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s.",2021-01-11,TV-MA
s1422,The Intouchables,Movie,2011,112.0,,"In need of a caregiver, a wealthy aristocrat with quadriplegia hires the last person anyone expects: an ex-con with no experience. Based on a true story.",2021-01-11,R
s1423,Apaharan,Movie,2005,161.0,,"Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping.",2021-01-08,TV-14
s1424,BluffMaster!,Movie,2005,129.0,,"When his girlfriend learns the truth about his murky past, a con artist is forced to examine his choices and get to the root of his real identity.",2021-01-08,TV-14
s1425,Charming,Movie,2021,85.0,,"On the eve of his 21st birthday, an adored prince must find his one, true soulmate before a spell takes away all love from his kingdom.",2021-01-08,TV-Y7
s1426,Creating The Queen's Gambit,Movie,2021,14.0,,"A fascinating character. Exquisite sets. A wig for every era. The stars, creators and crew reveal how the hit series about a chess prodigy came to life.",2021-01-08,TV-14
s1427,Gangaajal,Movie,2003,148.0,,"Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians.",2021-01-08,TV-MA
s1428,Inside the World’s Toughest Prisons,TV Show,2021,,5.0,"Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule.",2021-01-08,TV-MA
s1429,Is Love Enough? Sir,Movie,2018,99.0,,"A young widow is hired as the domestic helper for a wealthy architect, but social divides come to the fore as an unlikely attraction grows between them.",2021-01-08,TV-MA
s1430,Mighty Little Bheem: Kite Festival,TV Show,2021,,1.0,"With winter behind them, Bheem and his townspeople usher in a sunny new season in all their favorite ways during the Makar Sankranti festival.",2021-01-08,TV-Y
s1431,Pretend It’s a City,TV Show,2021,,1.0,"Wander the New York City streets and fascinating mind of wry writer, humorist and raconteur Fran Lebowitz as she sits down with Martin Scorsese.",2021-01-08,TV-14
s1432,Stuck Apart,Movie,2021,97.0,,"Entrenched in a midlife crisis, Aziz seeks solace from his mundane job, lonesome friends and rowdy family while pretending to have his act together.",2021-01-08,TV-MA
s1433,The Idhun Chronicles,TV Show,2021,,2.0,"A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder.",2021-01-08,TV-14
s1434,100% Halal,Movie,2020,101.0,,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",2021-01-07,TV-14
s1435,Leap!,Movie,2016,89.0,,"Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights.",2021-01-07,PG
s1436,Pieces of a Woman,Movie,2020,128.0,,"A heartbreaking home birth leaves a woman grappling with the profound emotional fallout, isolated from her partner and family by a chasm of grief.",2021-01-07,R
s1437,Ratones Paranoicos: The Band that Rocked Argentina,Movie,2021,76.0,,"The irrepressible Ratones Paranoicos, Argentina's most enduring rock band, are featured in vintage concert and backstage footage as their story's told.",2021-01-06,TV-MA
s1438,Surviving Death,TV Show,2021,,1.0,"What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena.",2021-01-06,TV-MA
s1439,Tony Parker: The Final Shot,Movie,2020,99.0,,"This film examines the background and career of Tony Parker, whose determination led him to become arguably the greatest French basketball player.",2021-01-06,TV-14
s1440,History of Swear Words,TV Show,2021,,1.0,"Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words.",2021-01-05,TV-MA
s1441,Nailed It! Mexico,TV Show,2021,,3.0,"The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize.",2021-01-05,TV-PG
s1442,Hello Brother,Movie,1999,126.0,,"After receiving a heart transplant from a murdered man, a cop is followed around by the victim’s ghost, who won’t rest until his death has been avenged.",2021-01-04,TV-14
s1443,Korean Pork Belly Rhapsody,TV Show,2020,,1.0,A love letter to pork belly — a perennial favorite among Koreans of every generation — unfolds with an exploration of its history and cooking methods.,2021-01-04,TV-G
s1444,QB1: Beyond the Lights,TV Show,2019,,1.0,This riveting series follows three star high school quarterbacks as they play their final season before moving on to Division I college football.,2021-01-04,TV-14
s1445,Playing for Keeps,Movie,2012,106.0,,"A washed-up, former soccer star attempts to rebuild his relationship with his son and ex-wife by coaching his son's soccer team.",2021-01-03,PG-13
s1446,Asphalt Burning,Movie,2020,101.0,,"When the brakes slam on his wedding, Roy accepts a challenge from a new foe to race for his runaway bride at the iconic Nürburgring track in Germany.",2021-01-02,TV-14
s1447,Bad Grandpa .5,Movie,2014,87.0,,"The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise, which features unused footage from the first film.",2021-01-01,TV-MA
s1448,Case 39,Movie,2009,111.0,,A naïve social worker brings a 10-year-old child into her home to rescue the girl from abusive parents – only to learn that she isn't what she seems.,2021-01-01,R
